checked_at,origin,dest,option,hub,price_rub,price_eur,eur_rate,depart_month,detail,link1,link2
2026-07-04 20:14,LED,TSF,Любой маршрут (мин.),,24005,273,88.0304,2026-09,вылет 2026-09-26 · 2 перес. · 27 ч 5 мин · a/к VF,,
2026-07-04 20:14,LED,TSF,Через Ереван,EVN,18830,214,88.0304,2026-09,Ереван: 12 501 ₽ + 6 329 ₽,,
2026-07-04 20:14,LED,TSF,Через Турцию,IST,21762,247,88.0304,2026-09,Стамбул IST: 14 455 ₽ + 7 307 ₽,,
2026-07-04 20:14,LED,TSF,Через Белград,BEG,30537,347,88.0304,2026-09,Белград: 24 848 ₽ + 5 689 ₽,,
2026-07-05 09:47,MOW,VCE,Любой маршрут (мин.),,18737,213,88.0304,2026-09,вылет 2026-09-30 · 2 перес. · 43 ч 50 мин · a/к UT,,
2026-07-05 09:47,MOW,VCE,Через Ереван,EVN,15716,179,88.0304,2026-09,Ереван: 9 387 ₽ + 6 329 ₽,,
2026-07-05 09:47,MOW,VCE,Через Турцию,IST,16952,193,88.0304,2026-09,Стамбул IST: 11 045 ₽ + 5 907 ₽,,
2026-07-05 09:47,MOW,VCE,Через Белград,BEG,26895,306,88.0304,2026-09,Белград: 21 206 ₽ + 5 689 ₽,,
2026-07-05 09:47,MOW,TSF,Любой маршрут (мин.),,18737,213,88.0304,2026-09,вылет 2026-09-30 · 2 перес. · 43 ч 50 мин · a/к UT,,
2026-07-05 09:47,MOW,TSF,Через Ереван,EVN,15716,179,88.0304,2026-09,Ереван: 9 387 ₽ + 6 329 ₽,,
2026-07-05 09:47,MOW,TSF,Через Турцию,IST,18345,208,88.0304,2026-09,Стамбул IST: 11 045 ₽ + 7 300 ₽,,
2026-07-05 09:47,MOW,TSF,Через Белград,BEG,26895,306,88.0304,2026-09,Белград: 21 206 ₽ + 5 689 ₽,,
2026-07-05 09:47,LED,VCE,Любой маршрут (мин.),,22879,260,88.0304,2026-09,вылет 2026-09-12 · 2 перес. · 34 ч 5 мин · a/к PC,,
2026-07-05 09:47,LED,VCE,Через Ереван,EVN,18830,214,88.0304,2026-09,Ереван: 12 501 ₽ + 6 329 ₽,,
2026-07-05 09:47,LED,VCE,Через Турцию,IST,20362,231,88.0304,2026-09,Стамбул IST: 14 455 ₽ + 5 907 ₽,,
2026-07-05 09:47,LED,VCE,Через Белград,BEG,30099,342,88.0304,2026-09,Белград: 24 410 ₽ + 5 689 ₽,,
2026-07-05 09:47,LED,TSF,Любой маршрут (мин.),,24005,273,88.0304,2026-09,вылет 2026-09-26 · 2 перес. · 27 ч 5 мин · a/к VF,,
2026-07-05 09:47,LED,TSF,Через Ереван,EVN,18830,214,88.0304,2026-09,Ереван: 12 501 ₽ + 6 329 ₽,,
2026-07-05 09:47,LED,TSF,Через Турцию,IST,21755,247,88.0304,2026-09,Стамбул IST: 14 455 ₽ + 7 300 ₽,,
2026-07-05 09:47,LED,TSF,Через Белград,BEG,30099,342,88.0304,2026-09,Белград: 24 410 ₽ + 5 689 ₽,,
2026-07-05 20:20,MOW,VCE,Любой маршрут (мин.),,18737,213,88.0304,2026-09,вылет 2026-09-30 · 2 перес. · 43 ч 50 мин · a/к UT,,
2026-07-05 20:20,MOW,VCE,Через Ереван,EVN,15715,179,88.0304,2026-09,Ереван: 9 386 ₽ + 6 329 ₽,,
2026-07-05 20:20,MOW,VCE,Через Турцию,IST,16952,193,88.0304,2026-09,Стамбул IST: 11 045 ₽ + 5 907 ₽,,
2026-07-05 20:20,MOW,VCE,Через Белград,BEG,27137,308,88.0304,2026-09,Белград: 21 448 ₽ + 5 689 ₽,,
2026-07-05 20:20,MOW,TSF,Любой маршрут (мин.),,18737,213,88.0304,2026-09,вылет 2026-09-30 · 2 перес. · 43 ч 50 мин · a/к UT,,
2026-07-05 20:20,MOW,TSF,Через Ереван,EVN,15715,179,88.0304,2026-09,Ереван: 9 386 ₽ + 6 329 ₽,,
2026-07-05 20:20,MOW,TSF,Через Турцию,IST,18138,206,88.0304,2026-09,Стамбул IST: 11 045 ₽ + 7 093 ₽,,
2026-07-05 20:20,MOW,TSF,Через Белград,BEG,27137,308,88.0304,2026-09,Белград: 21 448 ₽ + 5 689 ₽,,
2026-07-05 20:20,LED,VCE,Любой маршрут (мин.),,23640,269,88.0304,2026-09,вылет 2026-09-26 · 2 перес. · 37 ч 45 мин · a/к U6,,
2026-07-05 20:20,LED,VCE,Через Ереван,EVN,18830,214,88.0304,2026-09,Ереван: 12 501 ₽ + 6 329 ₽,,
2026-07-05 20:20,LED,VCE,Через Турцию,IST,20403,232,88.0304,2026-09,Стамбул IST: 14 496 ₽ + 5 907 ₽,,
2026-07-05 20:20,LED,VCE,Через Белград,BEG,30039,341,88.0304,2026-09,Белград: 24 350 ₽ + 5 689 ₽,,
2026-07-05 20:20,LED,TSF,Любой маршрут (мин.),,24005,273,88.0304,2026-09,вылет 2026-09-26 · 2 перес. · 27 ч 5 мин · a/к VF,,
2026-07-05 20:20,LED,TSF,Через Ереван,EVN,18830,214,88.0304,2026-09,Ереван: 12 501 ₽ + 6 329 ₽,,
2026-07-05 20:20,LED,TSF,Через Турцию,IST,21589,245,88.0304,2026-09,Стамбул IST: 14 496 ₽ + 7 093 ₽,,
2026-07-05 20:20,LED,TSF,Через Белград,BEG,30039,341,88.0304,2026-09,Белград: 24 350 ₽ + 5 689 ₽,,
2026-07-06 14:06,MOW,VCE,Любой маршрут (мин.),,17840,203,88.0304,2026-09,вылет 2026-09-23 · 2 перес. · 43 ч 50 мин · a/к UT,,
2026-07-06 14:06,MOW,VCE,Через Ереван,EVN,16009,182,88.0304,2026-09,Ереван: 9 385 ₽ + 6 624 ₽,,
